track_id,track_popularity,track_artist,playlist_genre
3b0cJPguhWOh2hjY6Lu192,70,Mike Williams,pop
3QC33AxvY2sdxq22ym3aSL,57,Armin van Buuren,pop
6nsLzJfvp5OLd4mgqUJkpq,16,Avicii,pop
1fN2cemf6ByT2WKqtumwR5,48,Dash Berlin,pop
6RnkFd8Fqqgk1Uni8RgqCQ,72,David Guetta,pop
5fEpuvcNvERP7EHtLe28Zy,2,Catiso,pop
45NYp6HaMbhHNtn8sTnztn,2,Lush & Simon,pop
7HdHOGbA7uyepn1jbPKqOx,66,Vargas & Lagola,pop
49ziHtycEUnbFQtE8e8slt,60,Tiësto,pop
3kGfazcbVvVkuZunzlLgTD,68,Sigala,pop
2ZEqEHPOhJdkI9pCCW9pBD,50,Kygo,pop
35ARq65zezGBwA7EHBXm2w,39,Bombs Away,pop
1N4n7soiQQ8TRsntrkItyA,1,Catiso,pop
0XOFJ634crTl8z9N5Gxh2S,4,STVCKS,pop
2OlWBmSjf1aUPGLNf0UI5A,16,Ariana Grande,pop
6UiDiFJUGEDzkGpZBL8IYq,58,Tritonal,pop
5WvAo7DNuPRmk4APhdPzi8,77,DJ Khaled,pop
4b2tcjrG1qUkSdsqEFP2dB,71,Axwell /\ Ingrosso,pop
0KsB4TwgATg88aXCMBoO3Y,65,Jax Jones,pop
23L5CiUhw2jV1OIMwthR3S,80,Martin Garrix,pop
3OEF72iu0qSN75kiw0qP1o,1,oomiee,pop
4zdQmfTLWgGd5mAX4MUIaX,67,ARASHI,pop
5KVxCdOVauTncDKgK426XN,28,Shinn Yamada,pop
4suDPyEfKYtqDR2OGblbTi,48,TOMORROW X TOGETHER,pop
7tegFBOVAZADytMG3YIR9o,39,Hiroomi Tosaka,pop
1eIl9qFUGihchPAfSF258T,60,GENERATIONS from EXILE TRIBE,pop
71jxHnEfeDyolLb6Kr2DdS,29,E-girls,pop
4eycOo0qKubeGx3g29dcHZ,21,iamSHUM,pop
0xTWI6HrzKHJ6LK11f8jGO,40,DAOKO,pop
07uivRw9i8NFjQbxZQu6g7,37,CHANMINA,pop
1QNoGbedAra3cbGcQAwBRQ,38,香取慎吾,pop
3gMJMSrU2QETbsILNuybIh,17,EMMA WAHLIN,pop
6EfsZW2pPBBDkiBMTGglEi,30,Ghost like girlfriend,pop
1gdrNesoUadTXNdVaKS2t3,31,Ryuji Imaichi,pop
0j6HZwmFLvxSoYUrg29IgP,37,CREAM,pop
2MbrVxNKpsg0bu9LMlPiri,35,THE RAMPAGE from EXILE TRIBE,pop
2gApWgkuisXedOcS9Tligs,49,INTERSECTION,pop
5Zjge6yCThuBMdnJdOBp9A,42,chelmico,pop
34S5Vg3Jxqtjb3dosDWHpH,23,ASOBOiSM,pop
2qpuYv59RVgLKcA0DPl9Tt,34,FlowBack,pop
1SV5ys0BGnN6aEsbS7prwt,27,SARM,pop
3t5I7uoAOyRtzkAVaHgmfL,60,ARASHI,pop
1g89JASxN75856KEYGmZTt,53,SIRUP,pop
56FtGMGdOoONvc0XpP4Bm6,30,Yo-Sea,pop
0HGSn0eFH5LF1MWdE9FOUC,41,eill,pop
2WSYYbEdxtGGo0VVP4jNjb,29,Rei Yasuda,pop
3fzCO5mdnxKvxOT03Ao0RI,54,Daichi Miura,pop
7Bh4dzYrbYtXbbuvK8M8yE,21,phai,pop
6nfiboYmeoHMxPU05yEQvg,21,BABY-T,pop
4ccp9ytoMerEU0967Okhu6,40,CREAM,pop
6cAaLUV2fc1b3Qpgc0z3k2,26,真之介,pop
6dKOpmTOzAVnaHqq7hqkJa,26,KEITA,pop
1HDrG1CAVROV1BclXs400N,36,空音,pop
